RowId,ImageId,FeatureName,Location,Rating
1,1,left_eye_center_x,,1
2,1,left_eye_center_y,,1
3,1,right_eye_center_x,,1
4,1,right_eye_center_y,,1
5,1,left_eye_inner_corner_x,,2
6,1,left_eye_inner_corner_y,,2
7,1,left_eye_outer_corner_x,,3
8,1,left_eye_outer_corner_y,,2
9,1,right_eye_inner_corner_x,,2
10,1,right_eye_inner_corner_y,,2
11,1,right_eye_outer_corner_x,,2
12,1,right_eye_outer_corner_y,,3
13,1,left_eyebrow_inner_end_x,,4
14,1,left_eyebrow_inner_end_y,,4
15,1,left_eyebrow_outer_end_x,,5
16,1,left_eyebrow_outer_end_y,,5
17,1,right_eyebrow_inner_end_x,,4
18,1,right_eyebrow_inner_end_y,,4
19,1,right_eyebrow_outer_end_x,,5
20,1,right_eyebrow_outer_end_y,,5
21,1,nose_tip_x,,10
22,1,nose_tip_y,,10
23,1,mouth_left_corner_x,,8
24,1,mouth_left_corner_y,,8
25,1,mouth_right_corner_x,,9
26,1,mouth_right_corner_y,,9
27,1,mouth_center_top_lip_x,,7
28,1,mouth_center_top_lip_y,,7
29,1,mouth_center_bottom_lip_x,,6
30,1,mouth_center_bottom_lip_y,,6
31,2,left_eye_center_x,,1
32,2,left_eye_center_y,,1
33,2,right_eye_center_x,,1
34,2,right_eye_center_y,,1
35,2,left_eye_inner_corner_x,,2
36,2,left_eye_inner_corner_y,,2
37,2,left_eye_outer_corner_x,,3
38,2,left_eye_outer_corner_y,,3
39,2,right_eye_inner_corner_x,,2
40,2,right_eye_inner_corner_y,,2
41,2,right_eye_outer_corner_x,,3
42,2,right_eye_outer_corner_y,,3
43,2,left_eyebrow_inner_end_x,,4
44,2,left_eyebrow_inner_end_y,,4
45,2,left_eyebrow_outer_end_x,,5
46,2,left_eyebrow_outer_end_y,,5
47,2,right_eyebrow_inner_end_x,,4
48,2,right_eyebrow_inner_end_y,,4
49,2,right_eyebrow_outer_end_x,,5
50,2,right_eyebrow_outer_end_y,,5
51,2,nose_tip_x,,10
52,2,nose_tip_y,,10
53,2,mouth_left_corner_x,,8
54,2,mouth_left_corner_y,,8
55,2,mouth_right_corner_x,,9
56,2,mouth_right_corner_y,,9
57,2,mouth_center_top_lip_x,,7
58,2,mouth_center_top_lip_y,,7
59,2,mouth_center_bottom_lip_x,,6
60,2,mouth_center_bottom_lip_y,,6
61,3,left_eye_center_x,,1
62,3,left_eye_center_y,,1
63,3,right_eye_center_x,,1
64,3,right_eye_center_y,,1
65,3,left_eye_inner_corner_x,,2
66,3,left_eye_inner_corner_y,,2
67,3,left_eye_outer_corner_x,,3
68,3,left_eye_outer_corner_y,,3
69,3,right_eye_inner_corner_x,,2
70,3,right_eye_inner_corner_y,,2
71,3,right_eye_outer_corner_x,,3
72,3,right_eye_outer_corner_y,,3
73,3,left_eyebrow_inner_end_x,,4
74,3,left_eyebrow_inner_end_y,,4
75,3,left_eyebrow_outer_end_x,,5
76,3,left_eyebrow_outer_end_y,,5
77,3,right_eyebrow_inner_end_x,,4
78,3,right_eyebrow_inner_end_y,,4
79,3,right_eyebrow_outer_end_x,,5
80,3,right_eyebrow_outer_end_y,,5
81,3,nose_tip_x,,10
82,3,nose_tip_y,,10
83,3,mouth_left_corner_x,,8
84,3,mouth_left_corner_y,,8
85,3,mouth_right_corner_x,,9
86,3,mouth_right_corner_y,,9
87,3,mouth_center_top_lip_x,,7
88,3,mouth_center_top_lip_y,,7
89,3,mouth_center_bottom_lip_x,,6
90,3,mouth_center_bottom_lip_y,,6
91,4,left_eye_center_x,,1
92,4,left_eye_center_y,,1
93,4,right_eye_center_x,,1
94,4,right_eye_center_y,,1
95,4,left_eye_inner_corner_x,,2
96,4,left_eye_inner_corner_y,,2
97,4,left_eye_outer_corner_x,,3
98,4,left_eye_outer_corner_y,,3
99,4,right_eye_inner_corner_x,,2
100,4,right_eye_inner_corner_y,,2
101,4,right_eye_outer_corner_x,,3
102,4,right_eye_outer_corner_y,,3
103,4,left_eyebrow_inner_end_x,,4
104,4,left_eyebrow_inner_end_y,,4
105,4,left_eyebrow_outer_end_x,,5
106,4,left_eyebrow_outer_end_y,,5
107,4,right_eyebrow_inner_end_x,,4
108,4,right_eyebrow_inner_end_y,,4
109,4,right_eyebrow_outer_end_x,,5
110,4,right_eyebrow_outer_end_y,,5
111,4,nose_tip_x,,10
112,4,nose_tip_y,,10
113,4,mouth_left_corner_x,,8
114,4,mouth_left_corner_y,,8
115,4,mouth_right_corner_x,,9
116,4,mouth_right_corner_y,,9
117,4,mouth_center_top_lip_x,,7
118,4,mouth_center_top_lip_y,,7
119,4,mouth_center_bottom_lip_x,,6
120,4,mouth_center_bottom_lip_y,,6
121,5,left_eye_center_x,,1
122,5,left_eye_center_y,,1
123,5,right_eye_center_x,,1
124,5,right_eye_center_y,,1
125,5,left_eye_inner_corner_x,,2
126,5,left_eye_inner_corner_y,,2
127,5,left_eye_outer_corner_x,,3
128,5,left_eye_outer_corner_y,,3
129,5,right_eye_inner_corner_x,,2
130,5,right_eye_inner_corner_y,,2
131,5,right_eye_outer_corner_x,,3
132,5,right_eye_outer_corner_y,,3
133,5,left_eyebrow_inner_end_x,,4
134,5,left_eyebrow_inner_end_y,,4
135,5,left_eyebrow_outer_end_x,,5
136,5,left_eyebrow_outer_end_y,,5
137,5,right_eyebrow_inner_end_x,,4
138,5,right_eyebrow_inner_end_y,,4
139,5,right_eyebrow_outer_end_x,,5
140,5,right_eyebrow_outer_end_y,,5
141,5,nose_tip_x,,10
142,5,nose_tip_y,,10
143,5,mouth_left_corner_x,,8
144,5,mouth_left_corner_y,,8
145,5,mouth_right_corner_x,,9
146,5,mouth_right_corner_y,,9
147,5,mouth_center_top_lip_x,,7
148,5,mouth_center_top_lip_y,,7
149,5,mouth_center_bottom_lip_x,,6
150,5,mouth_center_bottom_lip_y,,6
151,6,left_eye_center_x,,1
152,6,left_eye_center_y,,1
153,6,right_eye_center_x,,1
154,6,right_eye_center_y,,1
155,6,left_eye_inner_corner_x,,2
156,6,left_eye_inner_corner_y,,2
157,6,left_eye_outer_corner_x,,3
158,6,left_eye_outer_corner_y,,3
159,6,right_eye_inner_corner_x,,2
